,PX_VOLUME
2018-02-26,469853
2018-02-27,562670
2018-02-28,768409
2018-03-01,812505
2018-03-02,613514
2018-03-05,599266
2018-03-06,634953
2018-03-07,879119
2018-03-08,720510
2018-03-09,659722
2018-03-12,537990
2018-03-13,747738
2018-03-14,665017
2018-03-15,430201
2018-03-16,202493
2018-03-19,115962
2018-03-20,36060
2018-03-21,763768
2018-03-22,689172
2018-03-23,752994
2018-03-26,585899
2018-03-27,670811
2018-03-28,697678
2018-03-29,562819
2018-03-30,562819
2018-04-02,582742
2018-04-03,527289
2018-04-04,760596
2018-04-05,588597
2018-04-06,753262
2018-04-09,655831
2018-04-10,840280
2018-04-11,963017
2018-04-12,687468
2018-04-13,624203
2018-04-16,560076
2018-04-17,486076
2018-04-18,221664
2018-04-19,125993
2018-04-20,32948
2018-04-23,740941
2018-04-24,832296
2018-04-25,764049
2018-04-26,660549
2018-04-27,542549
2018-04-30,755186
2018-05-01,694771
2018-05-02,789367
2018-05-03,691219
2018-05-04,690876
2018-05-07,758916
2018-05-08,1253566
2018-05-09,863386
2018-05-10,749808
2018-05-11,634145
2018-05-14,592826
2018-05-15,815289
2018-05-16,574279
2018-05-17,562639
2018-05-18,211785
2018-05-21,119892
2018-05-22,31969
2018-05-23,702791
2018-05-24,640725
2018-05-25,955354
2018-05-28,955354
2018-05-29,1059750
2018-05-30,726886
2018-05-31,917563
2018-06-01,781103
2018-06-04,696050
2018-06-05,714674
2018-06-06,708829
2018-06-07,675041
2018-06-08,571224
2018-06-11,558281
2018-06-12,524411
2018-06-13,626398
2018-06-14,460168
2018-06-15,512591
2018-06-18,218933
2018-06-19,122646
2018-06-20,30647
2018-06-21,760719
2018-06-22,1136232
2018-06-25,816207
2018-06-26,848537
2018-06-27,775155
2018-06-28,717347
2018-06-29,602399
2018-07-02,652167
2018-07-03,667235
2018-07-04,667235
2018-07-05,841632
2018-07-06,611419
2018-07-09,533003
2018-07-10,586829
2018-07-11,861726
2018-07-12,707887
2018-07-13,530277
2018-07-16,530480
2018-07-17,440727
2018-07-18,187313
2018-07-19,103220
2018-07-20,25556
2018-07-23,555915
2018-07-24,524591
2018-07-25,622913
2018-07-26,489059
2018-07-27,460450
2018-07-30,463011
2018-07-31,519070
2018-08-01,576561
2018-08-02,531071
2018-08-03,476615
2018-08-06,495605
2018-08-07,485027
2018-08-08,760313
2018-08-09,509401
2018-08-10,524490
2018-08-13,578219
2018-08-14,538484
2018-08-15,573473
2018-08-16,383380
2018-08-17,171403
2018-08-20,112709
2018-08-21,27154
2018-08-22,581899
2018-08-23,450690
2018-08-24,517796
2018-08-27,332612
2018-08-28,426833
2018-08-29,497095
2018-08-30,445584
2018-08-31,419739
2018-09-03,419739
2018-09-04,785981
2018-09-05,542104
2018-09-06,633824
2018-09-07,530895
2018-09-10,571174
2018-09-11,676869
2018-09-12,800543
2018-09-13,684937
2018-09-14,611075
2018-09-17,422294
2018-09-18,234202
2018-09-19,125208
2018-09-20,28400
2018-09-21,855943
2018-09-24,576894
2018-09-25,551280
2018-09-26,464463
2018-09-27,454549
2018-09-28,544047
2018-10-01,601451
2018-10-02,463615
2018-10-03,698817
2018-10-04,687949
2018-10-05,613218
2018-10-08,554938
2018-10-09,623537
2018-10-10,652737
2018-10-11,783962
2018-10-12,626668
2018-10-15,568610
2018-10-16,535003
2018-10-17,651584
2018-10-18,215337
2018-10-19,108311
2018-10-22,27415
2018-10-23,853265
2018-10-24,775963
2018-10-25,573096
2018-10-26,595211
2018-10-29,477487
2018-10-30,680441
2018-10-31,666487
2018-11-01,790286
2018-11-02,708906
2018-11-05,609129
2018-11-06,761240
2018-11-07,866628
2018-11-08,764546
2018-11-09,821729
2018-11-12,806219
2018-11-13,1095643
