,XOM,MRO,OXY
2017-02-22,12917374,14602335,5177711
2017-02-23,13847038,16366349,6441463
2017-02-24,11338715,12131010,5286608
2017-02-27,13465948,11130915,5015678
2017-02-28,16834163,13377907,5309417
2017-03-01,17482122,12991682,5277025
2017-03-02,14170309,11310758,5647005
2017-03-03,12304096,6984632,5089671
2017-03-06,9617240,8821140,5100805
2017-03-07,12711508,11320444,5391588
2017-03-08,16817743,24467105,7225961
2017-03-09,14721795,36557869,8182533
2017-03-10,11355151,24326687,6070041
2017-03-13,9571361,15432314,6118100
2017-03-14,11335678,24942891,5747013
2017-03-15,11970300,15756356,7500332
2017-03-16,9923804,9523244,5789495
2017-03-17,18834129,12129438,7553837
2017-03-20,7700258,11142568,4655581
2017-03-21,13387665,15350747,6446632
2017-03-22,11168417,10055389,4984519
2017-03-23,8927991,14362607,3975466
2017-03-24,9128489,11814853,4228916
2017-03-27,8481162,9639768,3350289
2017-03-28,11028598,13184954,4961358
2017-03-29,8495457,15762081,4351410
2017-03-30,44704931,13249700,8501408
2017-03-31,21750398,9802733,6520820
2017-04-03,11438652,8428273,4324440
2017-04-04,9270872,9142062,3051136
2017-04-05,13809062,19647056,4740765
2017-04-06,9554910,12363554,4285656
2017-04-07,8909620,12551113,3871733
2017-04-10,8885298,11566712,4063136
2017-04-11,8576521,9674099,4828751
2017-04-12,9516100,16372093,6533850
2017-04-13,8667873,15490945,4693006
2017-04-14,8667873,15490945,4693006
2017-04-17,9577168,11375158,4065041
2017-04-18,8821414,14014903,4404077
2017-04-19,10764437,13678193,5447455
2017-04-20,11649051,10314427,4094049
2017-04-21,9816669,14072858,4400227
2017-04-24,8729701,12722638,2945205
2017-04-25,10733813,10929393,3384563
2017-04-26,9445925,14794164,3559019
2017-04-27,12385262,21618281,6506485
2017-04-28,12072169,12815391,3724077
2017-05-01,8664074,7810750,4615127
2017-05-02,9102893,11147998,5447723
2017-05-03,10289047,12226484,6641184
2017-05-04,16164528,18856777,11589299
2017-05-05,10213004,21878546,7710430
2017-05-08,8097077,11747584,5637121
2017-05-09,8647093,10126082,4491295
2017-05-10,9520322,14454263,5881363
2017-05-11,10047312,12619308,3924825
2017-05-12,7480240,17497995,3675942
2017-05-15,10881472,15984820,5426751
2017-05-16,9574192,12764906,3524351
2017-05-17,11151066,14647038,4053482
2017-05-18,9905799,10776468,3506394
2017-05-19,13028511,12773472,4442805
2017-05-22,9218736,10009221,3008876
2017-05-23,6857205,10507179,3826682
2017-05-24,8263795,13020723,4697166
2017-05-25,12370873,26995539,4688286
2017-05-26,8227074,11294538,4675380
2017-05-29,8227074,11294538,4675380
2017-05-30,8973580,10953983,3381474
2017-05-31,13572313,14886131,7475466
2017-06-01,9884090,11616959,7530877
2017-06-02,21687305,13849648,6778398
2017-06-05,11527068,10988549,5403983
2017-06-06,12208648,10660289,7535630
2017-06-07,13096541,24182868,9861656
2017-06-08,11720670,15665919,10782760
2017-06-09,13553887,17448833,6236989
2017-06-12,18172938,13353362,5823394
2017-06-13,12175524,13933733,4041097
2017-06-14,13713956,14260298,4894201
2017-06-15,11862610,12857856,3982832
